10,10,1,7,3,2,1,1,2,10,1,10,1,7,1,1,1,10,1,1,1,1,5,2,9,10,1,1,5,8,6,5,8,5,5,5,5,5,6,10,5,7,7,10,5,10,1,GK
10,10,7,6,4,7,10,10,5,9,1,6,2,7,10,1,1,10,10,1,1,1,10,3,10,9,1,1,10,8,9,5,8,5,8,1,1,1,1,1,1,1,1,1,1,1,1,CB_-_Defend
10,10,7,7,4,7,10,10,5,9,1,7,2,7,10,1,1,10,10,1,1,1,10,3,10,9,1,1,10,7,8,5,8,5,8,1,1,1,1,1,1,1,1,1,1,1,1,CB_-_Technical
10,10,10,6,7,5,9,8,10,10,1,7,4,7,10,1,1,5,6,1,1,1,7,2,9,8,9,1,10,7,6,5,8,5,8,1,1,1,1,1,1,1,1,1,1,1,1,FB
10,10,10,8,8,5,7,7,9,9,1,8,4,7,7,5,1,5,1,1,4,3,5,5,8,8,10,1,10,8,6,5,8,5,7,1,1,1,1,1,1,1,1,1,1,1,1,WB
10,10,8,6,5,10,9,8,7,10,1,9,3,7,7,3,1,7,7,1,2,1,10,4,8,8,4,1,10,8,6,5,8,5,7,1,1,1,1,1,1,1,1,1,1,1,1,Mid_-_Defend
10,10,10,7,6,5,7,7,10,7,1,7,5,7,7,7,1,5,7,1,2,5,6,6,7,9,5,1,10,8,6,5,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,Mid_-_BBM
10,10,8,10,7,7,1,3,5,3,1,9,8,7,4,10,1,3,1,1,10,6,9,10,6,8,8,1,10,8,6,7,8,5,5,1,1,1,1,1,1,1,1,1,1,1,1,Mid_-_Attack
10,10,7,7,10,5,4,5,8,4,1,7,6,7,4,7,1,5,1,1,8,7,7,8,6,7,10,1,10,8,6,9,7,9,3,1,1,1,1,1,1,1,1,1,1,1,1,Winger
10,10,5,10,9,5,1,3,5,1,1,8,10,7,3,10,1,3,1,1,10,6,10,10,8,8,8,1,10,8,6,5,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,AM
10,10,4,6,10,5,1,3,5,1,1,3,10,7,3,7,1,3,6,1,7,10,10,10,10,8,3,1,10,10,6,10,10,9,5,1,1,1,1,1,1,1,1,1,1,1,1,ST_-Technical
10,10,4,7,6,5,1,10,5,1,1,6,10,7,3,5,1,10,9,1,3,10,9,7,10,8,5,1,10,10,6,6,8,6,5,1,1,1,1,1,1,1,1,1,1,1,1,ST_-_Target_Man
